Optimizer,LayerSize,LR,Momentum,Alpha,BaseThreshold,DynamicThreshold,Accuracy
LowPassFilter,32,2.02789e-05,N/A,0.0145112,1,0,88.605
SGD,32,5.51139e-05,0.812777,N/A,1,0,95.46
LowPassFilter,32,6.16886e-05,N/A,0.142519,1,0,92.985
SGD,64,1.32981e-05,0.89685,N/A,1,0,96.015
LowPassFilter,64,7.88817e-05,N/A,0.0656807,1,0,95.405
SGD,64,6.62986e-05,0.844188,N/A,1,0,97.285
LowPassFilter,64,4.22877e-05,N/A,0.123154,1,0,93.445
SGD,64,9.63753e-05,0.978861,N/A,1,0,98.045
LowPassFilter,64,5.60859e-05,N/A,0.169009,1,0,94.615
SGD,64,5.18878e-05,0.85611,N/A,1,0,97.21
LowPassFilter,64,6.78461e-05,N/A,0.146304,1,0,94.97
SGD,16,7.43e-05,0.704121,N/A,1,0,93.5
LowPassFilter,16,0.00019834,N/A,0.0349414,1,0,92.84
SGD,16,0.000792897,0.716714,N/A,1,0,95.3
LowPassFilter,16,0.000971878,N/A,0.380591,1,0,94.82
SGD,16,0.00025113,0.721475,N/A,1,0,94.695
LowPassFilter,16,0.000647786,N/A,0.315128,1,0,94.035
SGD,16,0.000139336,0.946659,N/A,1,0,94.97
LowPassFilter,16,0.000723795,N/A,0.330752,1,0,94.83
SGD,16,0.000341103,0.996775,N/A,1,0,94.275
LowPassFilter,16,0.000161886,N/A,0.297051,1,0,92.43
SGD,16,0.00051279,0.732332,N/A,1,0,95.07
LowPassFilter,16,0.000559795,N/A,0.0543946,1,0,94.505
SGD,16,0.000641649,0.755747,N/A,1,0,95.265
LowPassFilter,16,0.000359803,N/A,0.306158,1,0,94.025
SGD,16,0.000678329,0.846382,N/A,1,0,95.5
LowPassFilter,16,0.000638182,N/A,0.0406229,1,0,94.42
SGD,16,0.000935253,0.748515,N/A,1,0,95.485
LowPassFilter,16,0.000695861,N/A,0.266239,1,0,94.615
SGD,16,0.000799812,0.915207,N/A,1,0,95.71
LowPassFilter,16,0.000244339,N/A,0.362782,1,0,93.565
SGD,16,0.00079454,0.774949,N/A,1,0,95.355
LowPassFilter,16,0.000755269,N/A,0.0177675,1,0,94.75
SGD,16,0.000890977,0.949176,N/A,1,0,95.67
LowPassFilter,16,0.000849258,N/A,0.190223,1,0,94.62
SGD,16,0.000322026,0.715088,N/A,1,0,95.165
LowPassFilter,16,0.000630373,N/A,0.246379,1,0,94.395
SGD,16,0.000295237,0.835994,N/A,1,0,95.265
LowPassFilter,16,0.000306285,N/A,0.0660238,1,0,93.625
SGD,16,0.000263128,0.867009,N/A,1,0,95
LowPassFilter,16,0.000672606,N/A,0.0257883,1,0,94.53
SGD,16,0.000751951,0.918425,N/A,1,0,95.16
LowPassFilter,16,6.26666e-05,N/A,0.228006,1,0,91.035
SGD,32,0.000896003,0.849115,N/A,1,0,97.15
LowPassFilter,32,6.13754e-05,N/A,0.128896,1,0,93.37
SGD,32,0.00046126,0.898761,N/A,1,0,97.09
LowPassFilter,32,0.00063645,N/A,0.361699,1,0,96.035
SGD,32,0.000423663,0.771264,N/A,1,0,96.51
LowPassFilter,32,0.000264295,N/A,0.0608685,1,0,95.46
SGD,32,0.000384371,0.988572,N/A,1,0,96.65
LowPassFilter,32,0.000184285,N/A,0.134324,1,0,95.355
SGD,32,5.63553e-05,0.752027,N/A,1,0,95.695
LowPassFilter,32,0.000817385,N/A,0.117529,1,0,96.795
SGD,32,0.000802839,0.981638,N/A,1,0,96.75
LowPassFilter,32,0.000418244,N/A,0.336168,1,0,96.18
SGD,32,0.000715718,0.929102,N/A,1,0,96.905
LowPassFilter,32,0.000845465,N/A,0.0665907,1,0,96.28
SGD,32,0.00023278,0.862433,N/A,1,0,96.9
LowPassFilter,32,0.000163333,N/A,0.28292,1,0,95.115
SGD,32,2.7884e-05,0.733747,N/A,1,0,94.06
LowPassFilter,32,0.000187658,N/A,0.288518,1,0,95.44
SGD,32,0.0008728,0.806381,N/A,1,0,96.915
LowPassFilter,32,0.000502685,N/A,0.34137,1,0,96.35
